"mcg","gvh","alm","mit","vac","nuc","yeast_sin.Localization_site"
0.5280898876404495,0.5925925925925927,0.3291139240506329,0.13,0.6575342465753424,0.22,"MIT"
0.3595505617977528,0.6666666666666667,0.3417721518987341,0.27,0.726027397260274,0.22,"MIT"
0.5955056179775282,0.6049382716049383,0.35443037974683544,0.15,0.726027397260274,0.22,"MIT"
0.5280898876404495,0.5185185185185186,0.45569620253164544,0.28,0.7397260273972602,0.22,"NUC"
0.34831460674157305,0.3827160493827161,0.3417721518987341,0.27,0.6575342465753424,0.22,"MIT"
0.44943820224719105,0.33333333333333337,0.44303797468354433,0.17,0.6712328767123287,0.22,"CYT"
0.48314606741573035,0.5061728395061729,0.3417721518987341,0.65,0.726027397260274,0.22,"MIT"
0.41573033707865165,0.3950617283950618,0.481012658227848,0.2,0.7945205479452054,0.34,"NUC"
0.49438202247191015,0.45679012345679015,0.5696202531645569,0.36,0.6712328767123287,0.22,"MIT"
0.41011235955056174,0.32098765432098775,0.49367088607594933,0.15,0.7945205479452054,0.3,"CYT"
0.3595505617977528,0.32098765432098775,0.4177215189873418,0.21,0.726027397260274,0.27,"NUC"
0.34831460674157305,0.2962962962962963,0.481012658227848,0.2,0.7123287671232876,0.29,"NUC"
0.3258426966292135,0.3580246913580247,0.45569620253164544,0.19,0.726027397260274,0.25,"CYT"
0.550561797752809,0.33333333333333337,0.3924050632911392,0.46,0.726027397260274,0.22,"MIT"
0.6179775280898877,0.5185185185185186,0.30379746835443033,0.19,0.6301369863013698,0.22,"MIT"
0.5000000000000001,0.3827160493827161,0.3924050632911392,0.11,0.684931506849315,0.22,"CYT"
0.40449438202247184,0.32098765432098775,0.36708860759493667,0.11,0.6712328767123287,0.4,"CYT"
0.5280898876404495,0.41975308641975306,0.4177215189873418,0.11,0.6986301369863014,0.25,"NUC"
0.3595505617977528,0.2592592592592593,0.430379746835443,0.21,0.6712328767123287,0.22,"NUC"
0.5617977528089888,0.4506172839506173,0.430379746835443,0.21,0.684931506849315,0.25,"NUC"
0.38202247191011235,0.33333333333333337,0.3227848101265822,0.275,0.684931506849315,0.22,"CYT"
0.3595505617977528,0.3827160493827161,0.3417721518987341,0.22,0.6986301369863014,0.31,"CYT"
0.6966292134831461,0.617283950617284,0.26582278481012656,0.295,0.7054794520547945,0.22,"CYT"
0.3595505617977528,0.49382716049382724,0.3924050632911392,0.13,0.7534246575342466,0.22,"CYT"
0.39325842696629215,0.49382716049382724,0.3924050632911392,0.15,0.7945205479452054,0.22,"CYT"
0.44943820224719105,0.4691358024691359,0.37341772151898733,0.51,0.7397260273972602,0.22,"MIT"
